Registro;Hora;Dir.;Operador;Camión ID;Camión Carga (m3);Remolque ID;Remolque Carga (m3);Total (m3);Estado;Sitio;Modelo
211101-000566;2024-07-16T11:48:19;ENTRA;L13;L13;18.6;;;18.6;;Acciona;Volvo
211101-000565;2024-07-16T07:25:50;ENTRA;Z82;Z82;18.4;;;18.4;;Acciona;Mercedes
211101-000564;2024-07-16T07:21:39;ENTRA;T43;T43;19.5;;;19.5;;Acciona;Mercedes
211101-000563;2024-07-16T06:55:51;ENTRA;L13;L13;18;;;18;;Acciona;Volvo
211101-000562;2024-07-16T06:51:39;ENTRA;R84;R84;17.1;;;17.1;;Acciona;Mercedes
211101-000561;2024-07-16T06:45:41;ENTRA;S80;S80;18.4;;;18.4;;Acciona;Volvo
211101-000560;2024-07-16T05:26:34;ENTRA;S80;S80;18.1;;;18.1;;Acciona;Volvo
211101-000559;2024-07-16T05:24:12;ENTRA;R84;R84;17.4;;;17.4;;Acciona;Mercedes
211101-000558;2024-07-16T05:19:42;ENTRA;Z82;Z82;17.7;;;17.7;;Acciona;Mercedes
211101-000557;2024-07-16T04:17:28;ENTRA;S80;S80;18.8;;;18.8;;Acciona;Volvo
211101-000556;2024-07-16T02:56:50;ENTRA;Z82;Z82;18.6;;;18.6;;Acciona;Mercedes
211101-000555;2024-07-16T02:53:42;ENTRA;R84;R84;17.1;;;17.1;;Acciona;Mercedes
211101-000554;2024-07-16T01:31:57;ENTRA;S80;S80;15.8;;;15.8;;Acciona;Volvo
211101-000553;2024-07-16T01:28:30;ENTRA;R84;R84;16.4;;;16.4;;Acciona;Mercedes
211101-000552;2024-07-16T00:21:11;ENTRA;S80;S80;18.4;;;18.4;;Acciona;Volvo
211101-000551;2024-07-16T00:05:41;ENTRA;R84;R84;17.5;;;17.5;;Acciona;Mercedes
211101-000550;2024-07-15T22:48:36;ENTRA;H32;H32;17.3;;;17.3;;Acciona;Mercedes
211101-000549;2024-07-15T22:42:24;ENTRA;Z82;Z82;18.3;;;18.3;;Acciona;Mercedes
211101-000548;2024-07-14T12:47:24;ENTRA;L13;L13;17.4;;;17.4;;Acciona;Volvo
211101-000547;2024-07-14T11:26:25;ENTRA;L13;L13;19.1;;;19.1;;Acciona;Volvo
211101-000546;2024-07-14T10:01:17;ENTRA;S80;S80;17.2;;;17.2;;Acciona;Volvo
211101-000545;2024-07-14T09:57:16;ENTRA;L13;L13;17.2;;;17.2;;Acciona;Volvo
211101-000544;2024-07-14T07:19:38;ENTRA;S80;S80;18.7;;;18.7;;Acciona;Volvo
211101-000543;2024-07-14T06:53:59;ENTRA;Z82;Z82;18;;;18;;Acciona;Mercedes
211101-000542;2024-07-14T06:40:18;ENTRA;R84;R84;16.4;;;16.4;;Acciona;Mercedes
211101-000541;2024-07-14T06:38:58;ENTRA;H32;H32;19.7;;;19.7;;Acciona;Mercedes
211101-000540;2024-07-14T05:12:40;ENTRA;S80;S80;17.1;;;17.1;;Acciona;Volvo
211101-000539;2024-07-14T04:47:24;ENTRA;L13;L13;18.7;;;18.7;;Acciona;Volvo
211101-000538;2024-07-14T04:46:17;ENTRA;Z82;Z82;17.1;;;17.1;;Acciona;Mercedes
211101-000537;2024-07-14T04:42:33;ENTRA;T43;T43;19.2;;;19.2;;Acciona;Mercedes
211101-000536;2024-07-14T02:57:46;ENTRA;H32;H32;17.3;;;17.3;;Acciona;Mercedes
211101-000535;2024-07-14T02:46:16;ENTRA;S80;S80;18.3;;;18.3;;Acciona;Volvo
211101-000534;2024-07-14T02:32:21;ENTRA;Z82;Z82;18.2;;;18.2;;Acciona;Mercedes
211101-000533;2024-07-14T02:14:52;ENTRA;R84;R84;17.6;;;17.6;;Acciona;Mercedes
211101-000532;2024-07-14T01:11:16;ENTRA;S80;S80;17;;;17;;Acciona;Volvo
211101-000531;2024-07-14T00:58:28;ENTRA;R84;R84;19.4;;;19.4;;Acciona;Mercedes
211101-000530;2024-07-14T00:56:14;ENTRA;T43;T43;19.4;;;19.4;;Acciona;Mercedes
211101-000529;2024-07-14T00:39:29;ENTRA;H32;H32;19.2;;;19.2;;Acciona;Mercedes
211101-000528;2024-07-13T23:58:41;ENTRA;S80;S80;18.2;;;18.2;;Acciona;Volvo
211101-000527;2024-07-13T23:46:29;ENTRA;R84;R84;17.7;;;17.7;;Acciona;Mercedes
211101-000526;2024-07-13T22:52:14;ENTRA;T43;T43;20.8;;;20.8;;Acciona;Mercedes
211101-000525;2024-07-13T22:49:53;ENTRA;L13;L13;18.5;;;18.5;;Acciona;Volvo
211101-000524;2024-07-13T22:45:25;ENTRA;Z82;Z82;18.8;;;18.8;;Acciona;Mercedes
211101-000523;2024-07-13T22:44:26;ENTRA;H32;H32;17.9;;;17.9;;Acciona;Mercedes
211101-000522;2024-07-13T22:28:42;ENTRA;S80;S80;18.9;;;18.9;;Acciona;Volvo
211101-000521;2024-07-13T22:22:44;ENTRA;R84;R84;20.3;;;20.3;;Acciona;Mercedes
211101-000520;2024-07-13T18:38:36;ENTRA;H32;H32;17.5;;;17.5;;Acciona;Mercedes
211101-000519;2024-07-13T18:17:45;ENTRA;L13;L13;18.5;;;18.5;;Acciona;Volvo
211101-000518;2024-07-13T16:29:31;ENTRA;L13;L13;16.8;;;16.8;;Acciona;Volvo
211101-000517;2024-07-13T14:15:18;ENTRA;L13;L13;15.8;;;15.8;;Acciona;Volvo
211101-000516;2024-07-13T12:36:13;ENTRA;L13;L13;18.4;;;18.4;;Acciona;Volvo
211101-000515;2024-07-13T11:16:17;ENTRA;H32;H32;17;;;17;;Acciona;Mercedes
211101-000514;2024-07-13T10:56:18;ENTRA;F88;F88;19.1;;;19.1;;Acciona;Mercedes
211101-000513;2024-07-13T10:55:38;ENTRA;L13;L13;19.3;;;19.3;;Acciona;Volvo
211101-000512;2024-07-13T07:34:23;ENTRA;H32;H32;17.1;;;17.1;;Acciona;Mercedes
211101-000511;2024-07-13T07:16:09;ENTRA;Z82;Z82;17.5;;;17.5;;Acciona;Mercedes
211101-000510;2024-07-13T06:57:24;ENTRA;R84;R84;18.4;;;18.4;;Acciona;Mercedes
211101-000509;2024-07-13T06:39:50;ENTRA;L13;L13;16.4;;;16.4;;Acciona;Volvo
211101-000508;2024-07-13T05:38:45;ENTRA;S80;S80;17.2;;;17.2;;Acciona;Volvo
211101-000507;2024-07-13T05:38:31;ENTRA;H32;H32;18.2;;;18.2;;Acciona;Mercedes
211101-000506;2024-07-13T05:18:13;ENTRA;Z82;Z82;18.3;;;18.3;;Acciona;Mercedes
211101-000505;2024-07-13T05:03:35;ENTRA;R84;R84;18.1;;;18.1;;Acciona;Mercedes
211101-000504;2024-07-13T05:01:50;ENTRA;F88;F88;18;;;18;;Acciona;Mercedes
211101-000503;2024-07-13T04:25:05;ENTRA;S80;S80;18.3;;;18.3;;Acciona;Volvo
211101-000502;2024-07-13T02:28:42;ENTRA;R84;R84;18.6;;;18.6;;Acciona;Mercedes
211101-000501;2024-07-13T02:25:38;ENTRA;Z82;Z82;18.9;;;18.9;;Acciona;Mercedes
211101-000500;2024-07-13T01:27:27;ENTRA;S80;S80;19.1;;;19.1;;Acciona;Volvo
211101-000499;2024-07-13T01:16:58;ENTRA;H32;H32;16.9;;;16.9;;Acciona;Mercedes
211101-000498;2024-07-13T01:08:47;ENTRA;Z82;Z82;17.9;;;17.9;;Acciona;Mercedes
211101-000497;2024-07-13T01:08:21;ENTRA;R84;R84;17.1;;;17.1;;Acciona;Mercedes
211101-000496;2024-07-12T23:59:22;ENTRA;Z82;Z82;18.3;;;18.3;;Acciona;Mercedes
211101-000495;2024-07-12T23:57:30;ENTRA;R84;R84;18.2;;;18.2;;Acciona;Mercedes
211101-000494;2024-07-12T22:51:56;ENTRA;F88;F88;18.1;;;18.1;;Acciona;Mercedes
211101-000493;2024-07-12T22:41:24;ENTRA;S80;S80;21.2;;;21.2;;Acciona;Volvo
211101-000492;2024-07-12T22:33:44;ENTRA;Z82;Z82;17.7;;;17.7;;Acciona;Mercedes
211101-000491;2024-07-12T22:32:39;ENTRA;R84;R84;18.1;;;18.1;;Acciona;Mercedes
211101-000490;2024-07-12T19:43:51;ENTRA;F88;F88;20.4;;;20.4;;Acciona;Mercedes
211101-000489;2024-07-12T19:42:59;ENTRA;L13;L13;19.4;;;19.4;;Acciona;Volvo
211101-000488;2024-07-12T18:13:49;ENTRA;F88;F88;20.5;;;20.5;;Acciona;Mercedes
211101-000487;2024-07-12T17:07:08;ENTRA;F88;F88;18.7;;;18.7;;Acciona;Mercedes
211101-000486;2024-07-12T13:41:32;ENTRA;F88;F88;20.3;;;20.3;;Acciona;Mercedes
211101-000485;2024-07-12T10:22:58;ENTRA;F88;F88;19.6;;;19.6;;Acciona;Mercedes
211101-000484;2024-07-12T07:16:49;ENTRA;R84;R84;19.3;;;19.3;;Acciona;Mercedes
211101-000483;2024-07-12T07:15:10;ENTRA;T43;T43;17.3;;;17.3;;Acciona;Mercedes
211101-000482;2024-07-12T07:07:22;ENTRA;S80;S80;18.4;;;18.4;;Acciona;Volvo
211101-000481;2024-07-12T06:02:35;ENTRA;F88;F88;18.7;;;18.7;;Acciona;Mercedes
211101-000480;2024-07-12T05:38:04;ENTRA;R84;R84;16.8;;;16.8;;Acciona;Mercedes
211101-000479;2024-07-12T03:50:21;ENTRA;S80;S80;17.6;;;17.6;;Acciona;Volvo
211101-000478;2024-07-12T02:52:16;ENTRA;R84;R84;17.4;;;17.4;;Acciona;Mercedes
211101-000477;2024-07-12T01:33:55;ENTRA;S80;S80;18.2;;;18.2;;Acciona;Volvo
211101-000476;2024-07-12T01:14:30;ENTRA;R84;R84;19.6;;;19.6;;Acciona;Mercedes
211101-000475;2024-07-12T00:23:24;ENTRA;S80;S80;15.9;;;15.9;;Acciona;Volvo
211101-000474;2024-07-11T22:45:01;ENTRA;Z82;Z82;16.7;;;16.7;;Acciona;Mercedes
211101-000473;2024-07-11T15:33:56;ENTRA;V98;V98;0;;;0;;Acciona;Mercedes
211101-000472;2024-07-11T07:40:13;ENTRA;V98;V98;18;;;18;;Acciona;Mercedes
211101-000471;2024-07-11T07:35:55;ENTRA;S80;S80;18.7;;;18.7;;Acciona;Volvo
211101-000470;2024-07-11T06:43:28;ENTRA;J10;J10;20.9;;;20.9;;Acciona;Volvo
211101-000469;2024-07-11T06:22:12;ENTRA;V98;V98;16.7;;;16.7;;Acciona;Mercedes
211101-000468;2024-07-11T05:00:03;ENTRA;Z82;Z82;18.7;;;18.7;;Acciona;Mercedes
211101-000467;2024-07-11T04:36:06;ENTRA;R84;R84;17.5;;;17.5;;Acciona;Mercedes
211101-000466;2024-07-11T02:21:41;ENTRA;Z82;Z82;17.6;;;17.6;;Acciona;Mercedes
211101-000465;2024-07-11T02:14:06;ENTRA;F88;F88;17.6;;;17.6;;Acciona;Mercedes
211101-000464;2024-07-11T02:05:55;ENTRA;L13;L13;17.2;;;17.2;;Acciona;Volvo
211101-000463;2024-07-10T22:56:44;ENTRA;R84;R84;19.2;;;19.2;;Acciona;Mercedes
211101-000462;2024-07-10T13:02:26;ENTRA;F88;F88;19.6;;;19.6;;Acciona;Mercedes
211101-000461;2024-07-10T13:01:56;ENTRA;J10;J10;20.6;;;20.6;;Acciona;Volvo
211101-000460;2024-07-10T12:50:21;ENTRA;S80;S80;18.2;;;18.2;;Acciona;Volvo
211101-000459;2024-07-10T12:04:20;ENTRA;R84;R84;18.6;;;18.6;;Acciona;Mercedes
211101-000458;2024-07-10T11:53:44;ENTRA;J10;J10;21.4;;;21.4;;Acciona;Volvo
211101-000457;2024-07-10T11:46:25;ENTRA;F88;F88;17.4;;;17.4;;Acciona;Mercedes
211101-000456;2024-07-10T10:54:08;ENTRA;R84;R84;18;;;18;;Acciona;Mercedes
211101-000455;2024-07-10T10:01:12;ENTRA;J10;J10;21.7;;;21.7;;Acciona;Volvo
211101-000454;2024-07-10T09:35:55;ENTRA;R84;R84;17.6;;;17.6;;Acciona;Mercedes
211101-000453;2024-07-10T03:58:41;ENTRA;J10;J10;20.4;;;20.4;;Acciona;Volvo
211101-000452;2024-07-10T03:43:27;ENTRA;F88;F88;15.8;;;15.8;;Acciona;Mercedes
211101-000451;2024-07-10T03:09:19;ENTRA;Z82;Z82;17.8;;;17.8;;Acciona;Mercedes
211101-000450;2024-07-10T02:58:20;ENTRA;R84;R84;18.5;;;18.5;;Acciona;Mercedes
211101-000449;2024-07-10T02:45:46;ENTRA;V98;V98;17;;;17;;Acciona;Mercedes
211101-000448;2024-07-10T02:26:28;ENTRA;J10;J10;20.1;;;20.1;;Acciona;Volvo
211101-000447;2024-07-10T02:16:05;ENTRA;S80;S80;17.9;;;17.9;;Acciona;Volvo
211101-000446;2024-07-10T01:16:32;ENTRA;F88;F88;20.4;;;20.4;;Acciona;Mercedes
211101-000445;2024-07-10T00:29:04;ENTRA;V98;V98;18.4;;;18.4;;Acciona;Mercedes
211101-000444;2024-07-10T00:12:44;ENTRA;F88;F88;17.9;;;17.9;;Acciona;Mercedes
211101-000443;2024-07-10T00:08:33;ENTRA;Z82;Z82;20.4;;;20.4;;Acciona;Mercedes
211101-000442;2024-07-09T23:54:05;ENTRA;J10;J10;21.2;;;21.2;;Acciona;Volvo
211101-000441;2024-07-09T23:49:25;ENTRA;S80;S80;17.9;;;17.9;;Acciona;Volvo
211101-000440;2024-07-09T23:41:58;ENTRA;L13;L13;18.7;;;18.7;;Acciona;Volvo
211101-000439;2024-07-09T23:38:44;ENTRA;V98;V98;20;;;20;;Acciona;Mercedes
211101-000438;2024-07-09T23:15:57;ENTRA;F88;F88;17.8;;;17.8;;Acciona;Mercedes
211101-000437;2024-07-09T22:38:16;ENTRA;V98;V98;19.4;;;19.4;;Acciona;Mercedes
211101-000436;2024-07-09T22:30:32;ENTRA;Z82;Z82;19.9;;;19.9;;Acciona;Mercedes
211101-000435;2024-07-09T22:18:04;ENTRA;J10;J10;22;;;22;;Acciona;Volvo
211101-000434;2024-07-09T22:08:16;ENTRA;S80;S80;19;;;19;;Acciona;Volvo
211101-000433;2024-07-09T22:02:13;ENTRA;F88;F88;19;;;19;;Acciona;Mercedes
211101-000432;2024-07-09T18:43:19;ENTRA;F88;F88;16.3;;;16.3;;Acciona;Mercedes
211101-000431;2024-07-09T18:26:20;ENTRA;L13;L13;18.9;;;18.9;;Acciona;Volvo
211101-000430;2024-07-09T17:37:12;ENTRA;R84;R84;17.6;;;17.6;;Acciona;Mercedes
211101-000429;2024-07-09T17:29:44;ENTRA;F88;F88;20.1;;;20.1;;Acciona;Mercedes
211101-000428;2024-07-09T16:27:29;ENTRA;L13;L13;18.6;;;18.6;;Acciona;Volvo
211101-000427;2024-07-09T13:14:21;ENTRA;J10;J10;20.6;;;20.6;;Acciona;Volvo
211101-000426;2024-07-09T11:52:55;ENTRA;J10;J10;20.4;;;20.4;;Acciona;Volvo
211101-000425;2024-07-09T11:04:27;ENTRA;F88;F88;18.1;;;18.1;;Acciona;Mercedes
211101-000424;2024-07-09T10:26:26;ENTRA;J10;J10;20.2;;;20.2;;Acciona;Volvo
211101-000423;2024-07-09T06:45:40;ENTRA;R84;R84;18.1;;;18.1;;Acciona;Mercedes
211101-000422;2024-07-09T06:24:32;ENTRA;S80;S80;19.9;;;19.9;;Acciona;Volvo
211101-000421;2024-07-09T06:22:11;ENTRA;J10;J10;20.7;;;20.7;;Acciona;Volvo
211101-000420;2024-07-09T06:08:39;ENTRA;Z82;Z82;20.3;;;20.3;;Acciona;Mercedes
211101-000419;2024-07-09T05:46:26;ENTRA;F88;F88;20.7;;;20.7;;Acciona;Mercedes
211101-000418;2024-07-09T05:20:22;ENTRA;R84;R84;18.7;;;18.7;;Acciona;Mercedes
211101-000417;2024-07-09T05:16:30;ENTRA;T43;T43;19.4;;;19.4;;Acciona;Mercedes
211101-000416;2024-07-09T04:02:07;ENTRA;S80;S80;17.7;;;17.7;;Acciona;Volvo
211101-000415;2024-07-09T03:48:08;ENTRA;F88;F88;17.9;;;17.9;;Acciona;Mercedes
211101-000414;2024-07-09T03:43:01;ENTRA;J10;J10;22.9;;;22.9;;Acciona;Volvo
211101-000413;2024-07-09T03:34:20;ENTRA;Z82;Z82;17.9;;;17.9;;Acciona;Mercedes
211101-000412;2024-07-09T03:03:41;ENTRA;R84;R84;18.9;;;18.9;;Acciona;Mercedes
211101-000411;2024-07-09T03:03:02;ENTRA;T43;T43;19.6;;;19.6;;Acciona;Mercedes
211101-000410;2024-07-09T02:14:25;ENTRA;J10;J10;21;;;21;;Acciona;Volvo
211101-000409;2024-07-09T01:23:02;ENTRA;S80;S80;18.8;;;18.8;;Acciona;Volvo
211101-000408;2024-07-09T00:45:09;ENTRA;F88;F88;20.1;;;20.1;;Acciona;Mercedes
211101-000407;2024-07-09T00:43:24;ENTRA;Z82;Z82;17.7;;;17.7;;Acciona;Mercedes
211101-000406;2024-07-09T00:27:28;ENTRA;T43;T43;18;;;18;;Acciona;Mercedes
211101-000405;2024-07-09T00:00:18;ENTRA;S80;S80;20.1;;;20.1;;Acciona;Volvo
211101-000404;2024-07-08T23:27:11;ENTRA;F88;F88;20.7;;;20.7;;Acciona;Mercedes
211101-000403;2024-07-08T22:34:07;ENTRA;T43;T43;17.4;;;17.4;;Acciona;Mercedes
211101-000402;2024-07-08T22:33:45;ENTRA;Z82;Z82;18.7;;;18.7;;Acciona;Mercedes
211101-000401;2024-07-08T22:02:41;ENTRA;J10;J10;18.3;;;18.3;;Acciona;Volvo
211101-000400;2024-07-08T21:44:51;ENTRA;F88;F88;20.4;;;20.4;;Acciona;Mercedes
211101-000399;2024-07-08T18:32:57;ENTRA;F88;F88;18.8;;;18.8;;Acciona;Mercedes
211101-000398;2024-07-08T18:27:22;ENTRA;J10;J10;20;;;20;;Acciona;Volvo
211101-000397;2024-07-08T17:22:11;ENTRA;F88;F88;19;;;19;;Acciona;Mercedes
211101-000396;2024-07-08T16:55:52;ENTRA;J10;J10;19.2;;;19.2;;Acciona;Volvo
211101-000395;2024-07-08T16:11:30;ENTRA;F88;F88;19.3;;;19.3;;Acciona;Mercedes
211101-000394;2024-07-08T15:55:37;ENTRA;R84;R84;17.9;;;17.9;;Acciona;Mercedes
211101-000393;2024-07-08T15:47:14;ENTRA;J10;J10;20.1;;;20.1;;Acciona;Volvo
211101-000392;2024-07-08T15:08:41;ENTRA;F88;F88;19.5;;;19.5;;Acciona;Mercedes
211101-000391;2024-07-08T14:42:37;ENTRA;R84;R84;17.3;;;17.3;;Acciona;Mercedes
211101-000390;2024-07-08T14:39:42;ENTRA;J10;J10;20.5;;;20.5;;Acciona;Volvo
211101-000389;2024-07-08T12:22:29;ENTRA;R84;R84;18.1;;;18.1;;Acciona;Mercedes
211101-000388;2024-07-08T10:00:17;ENTRA;J10;J10;18;;;18;;Acciona;Volvo
211101-000387;2024-07-08T09:21:38;ENTRA;S80;S80;19.5;;;19.5;;Acciona;Volvo
211101-000386;2024-07-08T08:42:26;ENTRA;J10;J10;19.4;;;19.4;;Acciona;Volvo
211101-000385;2024-07-08T06:05:48;ENTRA;F88;F88;17.6;;;17.6;;Acciona;Mercedes
211101-000384;2024-07-08T06:00:30;ENTRA;Z82;Z82;18.2;;;18.2;;Acciona;Mercedes
211101-000383;2024-07-08T05:58:23;ENTRA;S80;S80;19.7;;;19.7;;Acciona;Volvo
211101-000382;2024-07-08T05:49:46;ENTRA;V98;V98;18.4;;;18.4;;Acciona;Mercedes
211101-000381;2024-07-08T05:44:42;ENTRA;R84;R84;20.1;;;20.1;;Acciona;Mercedes
211101-000380;2024-07-08T04:58:53;ENTRA;F88;F88;17.1;;;17.1;;Acciona;Mercedes
211101-000379;2024-07-08T04:18:53;ENTRA;V98;V98;18.7;;;18.7;;Acciona;Mercedes
211101-000378;2024-07-08T03:53:32;ENTRA;Z82;Z82;18.6;;;18.6;;Acciona;Mercedes
211101-000377;2024-07-08T03:51:50;ENTRA;F88;F88;17.2;;;17.2;;Acciona;Mercedes
211101-000376;2024-07-08T03:12:04;ENTRA;V98;V98;18.1;;;18.1;;Acciona;Mercedes
211101-000375;2024-07-08T02:58:45;ENTRA;J10;J10;21;;;21;;Acciona;Volvo
211101-000374;2024-07-08T00:26:42;ENTRA;J10;J10;22.3;;;22.3;;Acciona;Volvo
211101-000373;2024-07-08T00:17:01;ENTRA;R84;R84;17.6;;;17.6;;Acciona;Mercedes
211101-000372;2024-07-07T23:25:17;ENTRA;Z82;Z82;17.5;;;17.5;;Acciona;Mercedes
211101-000371;2024-07-07T22:59:29;ENTRA;R84;R84;16.1;;;16.1;;Acciona;Mercedes
211101-000370;2024-07-07T22:46:04;ENTRA;F88;F88;19.3;;;19.3;;Acciona;Mercedes
211101-000369;2024-07-07T22:42:52;ENTRA;V98;V98;18.4;;;18.4;;Acciona;Mercedes
211101-000368;2024-07-07T21:25:47;ENTRA;S80;S80;18.3;;;18.3;;Acciona;Volvo
211101-000367;2024-07-07T21:04:57;ENTRA;F88;F88;17.8;;;17.8;;Acciona;Mercedes
211101-000366;2024-07-07T18:11:43;ENTRA;F88;F88;17.3;;;17.3;;Acciona;Mercedes
211101-000365;2024-07-07T17:39:57;ENTRA;J10;J10;18;;;18;;Acciona;Volvo
